Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
46,"W Yu, H Nagaoka, M Jankovic, Z Misulovin, H Suh…",Continued RAG expression in late stages of B cell development and no apparent re-induction after immunizion,451,1999, nature.com, Nature,"… -activating genes (RAGs) 1,2,3 . Here we investigate the regulation of RAG expression in … 
Endogenous RAG messenger RNA is expressed in immature B cells in bone marrow and …",https://www.nature.com/articles/23287,17
45,E Hollnagel,Epilogue: RAG–the resilience analysis grid,407,2017, taylorfrancis.com, Resilience engineering in practice,"… of what a Resilience Analysis Grid (Rag) may look like. … is called the Resilience Analysis 
Grid (Rag). similarly, the answers … Figure E.3. the procedure for filling out a Rag is quite simple, …",https://www.taylorfrancis.com/chapters/edit/10.1201/9781317065265-19/epilogue-rag-resilience-analysis-grid-erik-hollnagel,45
93,"A Villa, C Sobacchi, LD Notarangelo…",V(D)J recombination defects in lymphocytes due toRAG mutations: severe immunodeficiency with a spectrum of clinical presentations,401,2001, ashpublications.org, Blood  The Journal …,"… in RAGs are more diverse than previously thought and that this variability is related, in part, 
to the specific type of RAG … regardless of the type of RAG gene mutation. Analysis of the …",https://ashpublications.org/blood/article-abstract/97/1/81/52922,16
19,"D Edge, H Trinh, N Cheng, J Bradley, A Chao…",From local to global: A graph rag approach to query-focused summarization,394,2024, arxiv.org, arXiv preprint arXiv …,"… RAG, works well for queries that can be answered with information localized within a small 
set of records. However, vector RAG … requires a RAG approach, since vector RAG approaches …",https://arxiv.org/abs/2404.16130,197
68,"B Corneo, RL Wendland, L Deriano, X Cui, IA Klein…",Rag mutations reveal robust alternative end joining,384,2007, nature.com, Nature,"… Rag proteins reveals robust alternative NHEJ activity in NHEJ-deficient cells and some 
alternative joining activity even in wild-type cells. We propose a two-tier model in which the Rag …",https://www.nature.com/articles/nature06168,20
76,"LA Turka, DG Schatz, MA Oettinger, JJM Chun…",Thymocyte expression of RAG-1 and RAG-2: termination by T cell receptor cross-linking,335,1991, science.org, Science,"… the RAG-1 and RAG-2 transcripts were detected throughout the cortex although the RAG-1 … 
The stronger signal for RAG-1 compared to RAG-2 seen by in situ analysis was also seen in …",https://www.science.org/doi/abs/10.1126/science.1831564,10
11,"W Fan, Y Ding, L Ning, S Wang, H Li, D Yin…",A survey on rag meeting llms: Towards retrieval-augmented large language models,317,2024, dl.acm.org, Proceedings of the 30th …,"… , Retrieval-Augmented Generation (RAG) can offer reliable and … providing additional knowledge 
enables RAG to assist existing … Given the powerful abilities of RAG in providing the latest …",https://dl.acm.org/doi/abs/10.1145/3637528.3671470,158
2,"T Sekiguchi, E Hirose, N Nakashima, M Ii…","Novel G proteins, Rag C and Rag D, interact with GTP-binding proteins, Rag A and Rag B",287,2001, jbc.org, Journal of Biological …,"… Rag A as the bait to identify proteins binding to Rag A, and we isolated two novel human G 
proteins, Rag C and Rag D. … Rag A was associated with both Rag C and Rag D in their C-…",https://www.jbc.org/article/S0021-9258(19)67173-5/fulltext,11
14,T Hawkes,That Shakespeherian Rag: Essays on a critical process,284,2013, api.taylorfrancis.com,,"First published in 1986. This collection of essays focuses on the ways in which our society 'processes' 
Shakespeare and the purposes for which this seems to be done. The case is …",https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781315018430&type=googlepdf,22
81,"RR Chianelli, EB Prestridge, TA Pecoraro…","Molybdenum disulfide in the poorly crystalline"" Rag"" structure",275,1979, science.org, Science,"… If we assume that the rags are infinite in extent, the surface area will de- … rag structure in 
MoS2 further demonstrates the flexibility and stability of the dichalcogenide layers. The MoS2 rag …",https://www.science.org/doi/abs/10.1126/science.203.4385.1105,6
36,"S Siriwardhana, R Weerasekera, E Wen…",Improving the domain adaptation of retrieval augmented generation (RAG) models for open domain question answering,267,2023, direct.mit.edu, Transactions of the …,"… RAG has only been trained and explored with a Wikipedia-based external knowledge … RAG 
for the task of domain adaptation in ODQA. We propose RAG-end2end, an extension to RAG …",https://direct.mit.edu/tacl/article-abstract/doi/10.1162/tacl_a_00530/114590,89
25,"C Schuetz, K Huck, S Gudowius…",An Immunodeficiency Disease with RAG Mutations and Granulomas,263,2008, Mass Medical Soc, … England Journal of …,"… SCID (null mutations of both RAG alleles and no RAG activity), the Omenn … RAG allele with 
retention of some RAG activity), and atypical SCID (a missense mutation of at least one RAG …",https://www.nejm.org/doi/abs/10.1056/NEJMoa073966,15
1,"LD Notarangelo, MS Kim, JE Walter…",Human RAG mutations: biochemistry and clinical implications,246,2016, nature.com, Nature Reviews …,"… the RAG complex, by developing novel assays to test recombination activity of the mutant RAG 
… the molecular and cellular basis of immune dysregulation in patients with RAG deficiency. …",https://www.nature.com/articles/nri.2016.28,25
63,"BA Helmink, BP Sleckman",The response to and repair of RAG-mediated DNA double-strand breaks,214,2012, annualreviews.org, Annual review of immunology,"… segments and their flanking RAG recognition sequences. RAG cleavage generates four broken 
… We discuss the activation of DNA damage responses by RAG-induced DSBs focusing on …",https://www.annualreviews.org/content/journals/10.1146/annurev-immunol-030409-101320,15
38,"T Zhang, SG Patil, N Jain, S Shen…",Raft: Adapting language model to domain specific rag,179,2024, openreview.net, First Conference on …,"… We demonstrate that our RAG approach trains the model to perform better RAG on the 
set of documents it is trained on ie, in-domain. By removing the golden documents in some …",https://openreview.net/forum?id=rzQGHXNReU,90
18,"C Sobacchi, V Marrella, F Rucci, P Vezzoni…",RAG‐dependent primary immunodeficiencies,157,2006, Wiley Online Library, Human …,"Mutations in recombination activating genes 1 and 2 (RAG1 and RAG2) cause a spectrum 
of severe immunodeficiencies ranging from classical T cell–B cell–severe combined …",https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.20408,8
3,"F Cuconasu, G Trappolini, F Siciliano, S Filice…",The power of noise: Redefining retrieval for rag systems,154,2024, dl.acm.org, Proceedings of the 47th …,"… At their core, RAG systems consist of two … of RAG, posing the following research question: 
“What characteristics are desirable in a retriever to optimize prompt construction for RAG …",https://dl.acm.org/doi/abs/10.1145/3626772.3657834,77
56,"TC Kuo, MS Schlissel",Mechanisms controlling expression of the RAG locus during lymphocyte development,144,2009, Elsevier, Current opinion in immunology,"… locus, but these alone cannot explain the pattern of RAG expression during B and T cell … 
in RAG regulation. In this review we will focus on the various levels of RAG regulation. …",https://www.sciencedirect.com/science/article/pii/S0952791509000326,8
32,"S Jeong, J Baek, S Cho, SJ Hwang, JC Park",Adaptive-rag: Learning to adapt retrieval-augmented large language models through question complexity,137,2024, arxiv.org, arXiv preprint arXiv …,"… In other words, this result indicates that our AdaptiveRAG is capable of more accurately … 
RAG strategies, we further provide the exact elapsed time per query for our AdaptiveRAG and …",https://arxiv.org/abs/2403.14403,68
20,"G Teng, Y Maman, W Resch, M Kim, A Yamane, J Qian…",RAG represents a widespread threat to the lymphocyte genome,133,2015, cell.com, Cell,"… RAG-driven depletion of cleavage sites by insertion of strong recombination signals creates 
an ectopic hub of RAG-… governing RAG binding in the genome, identify areas at risk of RAG-…",https://www.cell.com/cell/fulltext/S0092-8674(15)00846-6,12
12,"OM Delmonte, C Schuetz, LD Notarangelo","RAG deficiency: two genes, many diseases",132,2018, Springer, Journal of clinical immunology,"Purpose To review the clinical and laboratory spectrum of RAG gene defects in humans, 
and discuss the mechanisms underlying phenotypic heterogeneity, the basis of immune …",https://link.springer.com/article/10.1007/s10875-018-0537-4,16
17,"HH Gan, D Fera, J Zorn, N Shiffeldrim…","RAG: RNA-As-Graphs database—concepts, analysis, and features",128,1987, journals.sagepub.com, Nutrition and …,"… Here, we present a new RNA motif database RNA-As-Graphs (RAG) that catalogues both … 
primary, secondary and tertiary structures, RAG provides a quantitative method for cataloguing …",https://journals.sagepub.com/doi/abs/10.1177/026010608700500206,3
5,"TC Ma, DE Willis",What makes a RAG regeneration associated?,123,2015, frontiersin.org, Frontiers in molecular neuroscience,"… Though several individual “regeneration-associated genes” (RAGs) have been identified 
from … Here, we review the known RAGs, focusing on how their transcriptional regulation can …",https://www.frontiersin.org/articles/10.3389/fnmol.2015.00043/full,11
60,SD Fugmann,The origins of the Rag genes—from transposition to V (D) J recombination,121,2010, Elsevier, Seminars in immunology,"The recombination activating genes 1 and 2 (Rag1 and Rag2) encode the key enzyme that 
is required for the generation of the highly diversified antigen receptor repertoire central to …",https://www.sciencedirect.com/science/article/pii/S1044532309001195,8
23,"D Fera, N Kim, N Shiffeldrim, J Zorn, U Laserson…",RAG: RNA-As-Graphs web resource,104,2004, Springer, BMC …,"… Our current RAG version archives tree graphs having up to … Figure 2 shows examples 
of RAG's tree libraries (A) and … RAG and send us their comments to RAG@biomath.nyu.edu. …",https://link.springer.com/article/10.1186/1471-2105-5-88,5
21,"LD Notarangelo, A Villa, K Schwarz",RAG and RAG defects,85,1999, Elsevier, Current opinion in immunology,"… (RAG) play a crucial role in lymphoid cell development. During the past year, the functional 
properties of RAG … re-expression of RAGs indicates their role in lymphoid cell homeostasis. …",https://www.sciencedirect.com/science/article/pii/S0952791599800739,3
70,E Hollnagel,RAG–resilience analysis grid,79,2015, erikhollnagel.com, Introduction to the Resilience Analysis Grid (RAG),"… the Resilience Analysis Grid (RAG). The purpose of using the RAG is not to provide an absolute 
… A second reason is that answers to the RAG questions represent a more or less arbitrary …",https://www.erikhollnagel.com/onewebmedia/RAG%20Outline%20V2.pdf,7
85,"Y Lyu, Z Li, S Niu, F Xiong, B Tang, W Wang…",Crud-rag: A comprehensive chinese benchmark for retrieval-augmented generation of large language models,76,2025, dl.acm.org, ACM Transactions on …,"… In the experiments, we systematically evaluate the RAG system’s performance on our 
CRUD-RAG benchmark. We also investigate various factors that affect the RAG system, such as …",https://dl.acm.org/doi/abs/10.1145/3701228,76
48,"S Zeng, J Zhang, P He, Y Xing, Y Liu, H Xu…",The good and the bad: Exploring privacy issues in retrieval-augmented generation (rag),74,2024, arxiv.org, arXiv preprint arXiv …,"… models (LLMs), the RAG technique could … RAG systems on leaking the private retrieval 
database. Despite the new risk brought by RAG on the retrieval data, we further reveal that RAG …",https://arxiv.org/abs/2402.16893,37
47,"CM Chan, C Xu, R Yuan, H Luo, W Xue, Y Guo…",Rq-rag: Learning to refine queries for retrieval augmented generation,73,2024, arxiv.org, arXiv preprint arXiv …,"… , Retrieval-Augmented Generation (RAG) addresses this by … However, existing RAG 
implementations primarily focus on … for Retrieval Augmented Generation (RQ-RAG) in this paper, …",https://arxiv.org/abs/2404.00610,36
34,NO Raxmonqulova,HODIMLARNI RAG 'BATLANTIRISH VA MOTIVATSIYA ORQALI ISH SAMARADORLIGINI OSHIRISH,69,2025, incop.org, … latest pedagogical and psychological innovations in …,"Ushbu maqola hodimlarni rag ‘batlantirish va motivatsiya orqali ish samaradorligini 
oshirishning ahamiyatini tahlil qiladi. Hodimlarning samaradorligini oshirish uchun to ‘g ‘ri rag ‘…",https://incop.org/index.php/th/article/view/550,69
92,UT Mamurjonovich,ERKIN IQTISODIY ZONALARDA TADBIRKORLIK FAOLIYATIGA INNOVATSIYALAR VA INVESTITSIYALARNI RAG 'BATLANTIRISHDA KLASTER YONDASHUVINING …,66,2024, universalconference.us, INTERNATIONAL CONFERENCE OF …,"… rag‘batlantirishdagi ahamiyati, uning iqtisodiy rivojlanishga, texnologik yutuqlarga ta’siri va 
biznes o‘sishi uchun qulay ekotizimni rag‘… sinergiya yaratish, hamkorlikni rag‘batlantirish va …",https://universalconference.us/universalconference/index.php/ICNSHS/article/view/277,33
69,"C Mavromatis, G Karypis",Gnn-rag: Graph neural retrieval for large language model reasoning,65,2024, arxiv.org, arXiv preprint arXiv:2405.20139,"… -RAG, a novel method for combining language understanding abilities of LLMs with the 
reasoning abilities of GNNs in a retrieval-augmented generation (RAG) … with RAG. In our GNN-…",https://arxiv.org/abs/2405.20139,32
65,"K Sawarkar, A Mangal…",Blended rag: Improving rag (retriever-augmented generation) accuracy with semantic search and hybrid query-based retrievers,61,2024, ieeexplore.ieee.org, 2024 IEEE 7th International …,"… Furthermore, most retrieval methodologies employed in RAG pipelines rely on keyword … 
RAG is still an emerging area of research. The goal of this study is to enhance retriever and RAG …",https://ieeexplore.ieee.org/abstract/document/10707868/,30
13,TM Hakimovich,Personalni Rag'batlantirish,60,2024, miastoprzyszlosci.com.pl, Miasto Przyszłości,""" Korxonada ishlovchilarning mehnatini rag ‘batlantirish yo ‘nalishlari"" mavzusi asosan 
korxonalarni boshqarish va mehnat munosabatlarini optimallashtirishga qaratilgan. Bu tadqiqot …",http://miastoprzyszlosci.com.pl/index.php/mp/article/view/4878,30
40,Z Rackauckas,Rag-fusion: a new take on retrieval-augmented generation,54,2024, arxiv.org, arXiv preprint arXiv:2402.03367,"… -augmented generation (RAG) chatbots, but in this study, I evaluated the use of the newly 
popularized RAG-Fusion method. RAG-Fusion combines RAG and reciprocal rank fusion (RRF…",https://arxiv.org/abs/2402.03367,27
75,"J Wu, J Zhu, Y Qi, J Chen, M Xu, F Menolascina…",Medical graph rag: Towards safe medical large language model via graph retrieval-augmented generation,53,2024, arxiv.org, arXiv preprint arXiv …,"… In this paper, we introduce a novel graph-based RAG method for … user RAG data to credible 
medical papers and foundational medical dictionaries. This process generates triples [RAG …",https://arxiv.org/abs/2408.04187,26
31,"A Balaguer, V Benara, RLF Cunha…","RAG vs fine-tuning: Pipelines, tradeoffs, and a case study on agriculture",50,2024, academia.edu, arXiv preprint arXiv …,"… In this paper, we propose a pipeline for fine-tuning and RAG, … of different stages of the RAG 
and fine-Tuning pipeline. We … the quantitative and qualitative benefits of RAG and fine-tuning. …",https://www.academia.edu/download/120772281/2401.08406.pdf,25
72,D Sanmartin,Kg-rag: Bridging the gap between knowledge and creativity,46,2024, arxiv.org, arXiv preprint arXiv:2405.12035,"… Our Contribution: The KG-RAG pipeline we propose represents a significant step forward 
in integrating KGs as external knowledge modules for LMAs. It improves upon existing RAG …",https://arxiv.org/abs/2405.12035,23
55,A Gennery,Recent advances in understanding RAG deficiencies,44,2019, pmc.ncbi.nlm.nih.gov, F1000Research,"… A study of RAG-deficient patients established that null mutations on both RAG alleles give … 
syndrome harbored missense mutations on at least one RAG allele that permitted partial V(D)…",https://pmc.ncbi.nlm.nih.gov/articles/PMC6364374/,6
28,"P Finardi, L Avila, R Castaldoni, P Gengo…","The chronicles of rag: The retriever, the chunk and the generator",40,2024, arxiv.org, arXiv preprint arXiv …,"… day a new technique to improve RAG appears, making it … , optimize, and evaluate RAG 
for the Brazilian Portuguese … Finally, we present the complete architecture of the RAG with …",https://arxiv.org/abs/2401.07883,20
51,"X Du, G Zheng, K Wang, J Feng, W Deng, M Liu…",Vul-rag: Enhancing llm-based vulnerability detection via knowledge-level rag,36,2024, arxiv.org, arXiv preprint arXiv …,"… Our evaluation of Vul-RAG on our constructed benchmark PairVul shows that Vul-RAG … 
In addition, our user study shows that the vulnerability knowledge generated by Vul-RAG …",https://arxiv.org/abs/2406.11147,18
80,"S Setty, H Thakkar, A Lee, E Chung, N Vidra",Improving retrieval for rag based question answering models on financial documents,33,2024, arxiv.org, arXiv preprint arXiv …,"… by RAG rather than the inherent capabilities of LLMs. To augment the efficacy of LLMs, it 
is crucial to refine the RAG process. This paper explores the existing constraints of RAG …",https://arxiv.org/abs/2404.07221,16
59,"Y Hu, Y Lu",Rag and rau: A survey on retrieval-augmented language model in natural language processing,32,2024, arxiv.org, arXiv preprint arXiv:2404.19543,"… This article provides a comprehensive overview of recent RAG work, but it does not cover 
all … of RAG for large models. This article summarizes some of the recent RAG work, but it …",https://arxiv.org/abs/2404.19543,16
10,"P Laban, AR Fabbri, C Xiong, CS Wu",Summary of a haystack: A challenge to long-context llms and rag systems,32,2024, arxiv.org, arXiv preprint arXiv:2407.01370,"… LLMs and RAG systems are now capable of handling … 10 LLMs and corresponding 50 RAG 
systems. Our findings indicate … We show SummHay can also be used to study enterprise RAG …",https://arxiv.org/abs/2407.01370,16
74,"M Fatehkia, JK Lucas, S Chawla",T-RAG: lessons from the LLM trenches,31,2024, arxiv.org, arXiv preprint arXiv:2402.07483,"… RAG with a finetuned open-source LLM. Additionally, our system, which we call Tree-RAG 
(T-RAG)… combination performs better than a simple RAG or finetuning implementation. Finally, …",https://arxiv.org/abs/2402.07483,16
77,"IA To'rayevich, S AD",MILLIY IQTISODIYOTIGA XORIJIY INVESTITSIYALARNI JALB QILISHNI SOLIQLAR VOSITASIDA RAG 'BATLANTIRISH ISTIQBOLLARI,30,2025, esiconf.org, ANALYSIS OF MODERN SCIENCE AND …,"… rag'batlantirish yo‟llari. SAMARALI TA’LIM VA BARQAROR INNOVATSIYALAR … 
MILLIY IQTISODIYOTGA XORIJIY INVESTITSIYANI JALB QILISHNI SOLIQLAR …",https://esiconf.org/index.php/AMSI/article/view/2053,30
97,"S Zhao, Y Yang, Z Wang, Z He, LK Qiu…",Retrieval augmented generation (rag) and beyond: A comprehensive survey on how to make your llms use external data more wisely,30,2024, arxiv.org, arXiv preprint arXiv …,"… In this survey, we propose a RAG task categorization method, classifying user queries into 
four levels based on the type of external data required and primary focus of the task: explicit …",https://arxiv.org/abs/2409.14924,15
54,"J Dong, B Fatemi, B Perozzi, LF Yang…",Don't forget to connect! improving rag with graph-based reranking,28,2024, arxiv.org, arXiv preprint arXiv …,"… two core questions about RAG generation. We introduce G-RAG, a reranker based on graph 
neural networks (GNNs) between the retriever and reader in RAG. Our method combines …",https://arxiv.org/abs/2405.18414,14
86,"M Kang, NM Gürel, N Yu, D Song, B Li",C-rag: Certified generation risks for retrieval-augmented language models,27,2024, arxiv.org, arXiv preprint arXiv:2402.03181,"… RAG models to reduce generation risks. We propose C-RAG, a novel framework to certify 
generation risks for RAG … Specifically, we provide conformal risk analysis for RAG models and …",https://arxiv.org/abs/2402.03181,14
33,"P Xia, K Zhu, H Li, T Wang, W Shi, S Wang…",Mmed-rag: Versatile multimodal rag system for medical vision language models,27,2024, arxiv.org, arXiv preprint arXiv …,"… Specifically, MMed-RAG first introduces a domain-aware … Lastly, MMed-RAG incorporates 
RAG-based preference fine-… is MMed-RAG, a versatile multimodal RAG system designed …",https://arxiv.org/abs/2410.13085,14
58,"J Lee, A Chen, Z Dai, D Dua, DS Sachan…","Can Long-Context Language Models Subsume Retrieval, RAG, SQL, and More?",26,2024, arxiv.org, arXiv preprint arXiv …,"… Retrieval & RAG We include diverse text retrieval and RAG datasets, covering heterogeneous 
retrieval tasks from BEIR [53], multi-turn conversational QA [2], multi-hop QA [63, 55], as …",https://arxiv.org/abs/2406.13121,13
87,"A Asai, Z Wu, Y Wang, A Sil…",Self-rag: Self-reflective retrieval augmented generation,23,2023, openreview.net, NeurIPS 2023 workshop on …,"Scaling up language models (LMs) or instruction tuning has shown limited effects on improving 
factuality of LM outputs. Retrieval-Augmented Generation (RAG), an ad hoc approach …",https://openreview.net/forum?id=jbNjgmE0OP,8
67,"J Kim, M Min",From rag to qa-rag: Integrating generative ai for pharmaceutical regulatory compliance process,22,2024, arxiv.org, arXiv preprint arXiv:2402.01717,"… Despite the advancements in RAG, we recognized that the accuracy of the conventional 
RAG methods may fall short in the regulatory compliance domain, where domain-specific and …",https://arxiv.org/abs/2402.01717,11
41,"S Gupta, R Ranjan, SN Singh","A comprehensive survey of retrieval-augmented generation (rag): Evolution, current landscape and future directions",22,2024, arxiv.org, arXiv preprint arXiv:2410.12837,"… (RAG), tracing its evolution from foundational concepts to the current state of the art. RAG … 
The study explores the basic architecture of RAG, focusing on how retrieval and generation …",https://arxiv.org/abs/2410.12837,11
100,"C Wang, Q Long, M Xiao, X Cai, C Wu, Z Meng…",Biorag: A rag-llm framework for biological question reasoning,21,2024, arxiv.org, arXiv preprint arXiv …,"The question-answering system for Life science research, which is characterized by the rapid 
pace of discovery, evolving insights, and complex interactions among knowledge entities, …",https://arxiv.org/abs/2408.01107,10
57,"H Qian, P Zhang, Z Liu, K Mao, Z Dou",Memorag: Moving towards next-gen rag via memory-inspired knowledge discovery,21,2024, nettpilot.no, arXiv preprint arXiv:2409.05591,"… Retrieval-Augmented Generation (RAG) leverages retrieval … Consequently, existing RAG 
systems are primarily effective … conventional RAG fails and straightforward ones where RAG is …",https://nettpilot.no/wp-content/uploads/2024/10/memorag-2409.05591v2.pdf,10
96,"D Yang, J Rao, K Chen, X Guo, Y Zhang…",Im-rag: Multi-round retrieval-augmented generation through learning inner monologues,19,2024, dl.acm.org, Proceedings of the 47th …,"… , IM-RAG, that integrates IR systems with LLMs to support multi-round RAG through learning 
… • Inspired by IMMO, we introduce a novel approach, IM-RAG, that connects LLMs and IR …",https://dl.acm.org/doi/abs/10.1145/3626772.3657760,10
6,"X Yang, K Sun, H Xin, Y Sun, N Bhalla…",CRAG-comprehensive RAG benchmark,19,2024, proceedings.neurips.cc, Advances in …,"… RAG solutions and industry state-of-the-art solutions on RAG (Section 5). Whereas most 
advanced LLMs achieve ď 34% accuracy on CRAG, adding RAG … State-of-the-art industry RAG …",https://proceedings.neurips.cc/paper_files/paper/2024/hash/1435d2d0fca85a84d83ddcb754f58c29-Abstract-Datasets_and_Benchmarks_Track.html,10
9,"B Jin, J Yoon, J Han, SO Arik",Long-context llms meet rag: Overcoming challenges for long inputs in rag,18,2024, arxiv.org, arXiv preprint arXiv:2410.05983,"… : we systematically analyze the use of long-context LLMs in RAG systems, specifically … for 
robust RAG: we propose three methods to improve the robustness of longcontext LLMs in RAG: …",https://arxiv.org/abs/2410.05983,9
29,"M Eibich, S Nagpal, A Fred-Ojala",ARAGOG: Advanced RAG output grading,17,2024, arxiv.org, arXiv preprint arXiv:2404.01037,"… an extensive evaluation of multiple RAG techniques and their … is a spectrum of advanced 
RAG techniques aimed at … • Unfrozen RAG systems: Unlike the static application of RAG …",https://arxiv.org/abs/2404.01037,8
30,"T Yu, A Xu, R Akkiraju",In defense of rag in the era of long-context language models,16,2024, arxiv.org, arXiv preprint arXiv:2409.01666,"… Unlike the existing works favoring the long-context LLM over RAG, we … RAG in long-context 
answer generation. We propose an order-preserve retrieval-augmented generation (OP-RAG…",https://arxiv.org/abs/2409.01666,8
79,"KKY Ng, I Matsuba, PC Zhang",RAG in health care: a novel framework for improving communication and decision-making by addressing LLM limitations,16,2025, ai.nejm.org, NEJM AI,"… This article seeks to outline present and future use cases of RAG for … RAG to QA-RAG: 
integrating generative AI for pharmaceutical regulatory compliance process. From RAG to QA-RAG…",https://ai.nejm.org/doi/abs/10.1056/AIra2400380,16
61,"N Cooper, K Henderson, F Radcliffe, S Smith",The RAG,15,2010, ragwa.wordpress.com,,"A discovery announced last March suggests that a Celtic tribe called the Cornovii may have 
built a road, perhaps as long as 60 kms or so, in modern day Shropshire that has hitherto …",https://ragwa.wordpress.com/wp-content/uploads/2013/12/rag_vol_6_issue_2.pdf,1
62,"J Howard, A Boyer, N Cooper, B Barwood",The RAG,14,2011, ragwa.wordpress.com,,"In the 1950s and 1960s humankind was doomed by an imminent global thermonuclear war. 
In the 1970s and 1980s we were doomed by a worldwide population explosion. In both …",https://ragwa.wordpress.com/wp-content/uploads/2013/12/rag_vol_6_issue_1.pdf,1
73,"K Zhu, Y Luo, D Xu, Y Yan, Z Liu, S Yu, R Wang…",Rageval: Scenario specific rag evaluation dataset generation framework,13,2024, arxiv.org, arXiv preprint arXiv …,"… for automatically generating scenario-specific RAG evaluation datasets. (2) We … RAG 
benchmark, DragonBall, and conduct comprehensive experiments to analyze the impact of RAG …",https://arxiv.org/abs/2408.01262,6
22,T Bruckhaus,Rag does not work for enterprises,12,2024, arxiv.org, arXiv preprint arXiv:2406.04369,"… This paper explores the unique requirements for enterprise RAG, … framework to validate 
enterprise RAG solutions, including … ability of purpose-built RAG architectures to deliver accuracy …",https://arxiv.org/abs/2406.04369,6
16,"S Rosenthal, A Sil, R Florian, S Roukos",CLAPnq: Cohesive Long-form Answers from Passages in Natural Questions for RAG systems,12,2025, direct.mit.edu, Transactions of the …,"… (RAG) has become a popular application for large language models. It is preferable that 
successful RAG systems … For a detailed survey of RAG approaches we direct the reader to the …",https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00729/127456,12
